model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,recall_non_batik_mean,recall_non_batik_std,recall_batik_mean,recall_batik_std
MobileNetV2,0.9652439024390244,0.03340884763854323,0.9622405372405373,0.04038486405504833,0.9599267399267399,0.037332021231133286,0.9622405372405373,0.04038486405504833,0.9602927072927073,0.03848355617434875,0.9220298627841756,0.07596478990893187,0.9538461538461538,0.06880209161537815,0.9706349206349205,0.030913918127232147
ResNet18,0.9303658536585366,0.027314759266111325,0.9152218152218152,0.029378273769771413,0.9242873346321623,0.035537199673403165,0.9152218152218152,0.029378273769771413,0.9190485128698505,0.03133800231182059,0.8393395469835656,0.06311898040515919,0.8743589743589745,0.04478012614505894,0.956084656084656,0.031153531709949923
