model,embedding_dim,train_batik,train_non_batik,external_n,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
MobileNetV2,1280,200,200,60,0.8666666666666667,0.8666666666666667,0.8733031674208145,0.8666666666666667,0.8660714285714286,0.7399400733959437,0.9333333333333333,0.8
ResNet18,512,200,200,60,0.8333333333333334,0.8333333333333334,0.8348214285714286,0.8333333333333334,0.8331479421579533,0.6681531047810609,0.8,0.8666666666666667
