model_group,model,cv_f1_macro_mean,cv_f1_macro_std,external_f1_macro,external_balanced_accuracy,external_mcc,external_recall_batik,external_recall_non_batik
Frozen DL features,MobileNetV2,0.9602927072927073,0.03848355617434875,0.8660714285714286,0.8666666666666667,0.7399400733959437,0.8,0.9333333333333333
Frozen DL features,ResNet18,0.9190485128698505,0.03133800231182059,0.8331479421579533,0.8333333333333334,0.6681531047810609,0.8666666666666667,0.8
Classical ML,SVM (RBF),0.9107600568663188,0.0428873382873276,0.660633484162896,0.6666666666666667,0.3458572319330373,0.5333333333333333,0.8
Classical ML,Random Forest,0.9038909841213028,0.0312229879835049,0.613986013986014,0.6166666666666667,0.2366431913239846,0.5333333333333333,0.7
Classical ML,Logistic Regression,0.8229819083922953,0.0642944317463569,0.4949494949494949,0.5,0.0,0.6,0.4
