model,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
SVM (RBF),0.6666666666666666,0.6666666666666667,0.6794258373205742,0.6666666666666667,0.660633484162896,0.3458572319330373,0.8,0.5333333333333333
Random Forest,0.6166666666666667,0.6166666666666667,0.62,0.6166666666666667,0.613986013986014,0.23664319132398462,0.7,0.5333333333333333
Logistic Regression,0.5,0.5,0.5,0.5,0.4949494949494949,0.0,0.4,0.6
