feature_set,model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,recall_non_batik_mean,recall_non_batik_std,recall_batik_mean,recall_batik_std
Gabungan 6 Fitur,SVM (RBF),0.920609756097561,0.0402586816912445,0.9172262922262922,0.0281431934266485,0.9136874938599076,0.055915156902241,0.9172262922262922,0.0281431934266485,0.9107600568663188,0.0428873382873276,0.830222268901425,0.0803791842467621,0.9064102564102564,0.0640384294550881,0.928042328042328,0.0757706780701929
Gabungan 6 Fitur,Random Forest,0.9153658536585366,0.0286760455077184,0.9094017094017094,0.0256580641314463,0.905418568340982,0.0439764640036062,0.9094017094017094,0.0256580641314463,0.9038909841213028,0.0312229879835049,0.8141677136874718,0.0620704610297323,0.8910256410256411,0.0681419603380426,0.9277777777777776,0.0562721484192554
Gabungan 6 Fitur,Logistic Regression,0.8408536585365853,0.0599719223417381,0.8341676841676842,0.0617882530094397,0.8190230972730973,0.0683692531306817,0.8341676841676842,0.0617882530094397,0.8229819083922953,0.0642944317463569,0.6526832447363878,0.1280599458831402,0.8141025641025641,0.08576338564269,0.8542328042328041,0.0684796931940014
