model,family,balanced_accuracy,f1_macro,mcc,recall_batik,recall_non_batik
SVM (RBF),handcrafted six features,0.6666666666666667,0.660633484162896,0.3458572319330373,0.5333333333333333,0.8
Random Forest,handcrafted six features,0.6166666666666667,0.613986013986014,0.2366431913239846,0.5333333333333333,0.7
Logistic Regression,handcrafted six features,0.5,0.4949494949494949,0.0,0.6,0.4
MobileNetV2,frozen deep benchmark,0.8666666666666667,0.8660714285714286,0.7399400733959437,0.8,0.9333333333333332
ResNet18,frozen deep benchmark,0.8333333333333334,0.8331479421579533,0.6681531047810609,0.8666666666666667,0.8
