protocol,winner,runner_up,winner_macro_f1,runner_up_macro_f1,margin,pooled_fold_std,standard_error_of_mean,margin_in_standard_errors,n_folds
file-level,Random Forest,SVM (RBF),0.9070443864128076,0.8982142302142302,0.00883015619857741,0.03249225915080397,0.014530980040747453,0.6076779524723096,5
source-group-aware,SVM (RBF),Random Forest,0.9107600568663188,0.9038909841213028,0.006869072745016025,0.046134919339063135,0.020632163155722968,0.33293032306749065,5
