factor,contrast,mean_difference,min_across_settings,max_across_settings,settings
color,rgb minus gray,-0.02442570507310738,-0.07233545603541892,-0.0003915468539137823,4
dimensionality,full512 minus pca6,0.010438383605395932,-0.03168194917828612,0.02868312364596004,4
pretraining,pretrained minus random,0.10648190361216076,0.05422140888274967,0.13095440579464268,4
