condition,color,pretraining,dimensionality,repeat,outer_fold,selected_model,inner_macro_f1,train_instances,test_originals,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
rgb+pretrained+pca6,rgb,pretrained,pca6,1,4,Random Forest,0.9213526492101543,400,40,0.95,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9430199430199431,0.8921425711997711,1.0,0.9285714285714286
rgb+pretrained+pca6,rgb,pretrained,pca6,1,5,Logistic Regression,0.9160782732030197,400,40,0.95,0.9430199430199431,0.9430199430199431,0.9430199430199431,0.9430199430199431,0.886039886039886,0.9230769230769231,0.9629629629629629
rgb+pretrained+pca6,rgb,pretrained,pca6,2,1,Logistic Regression,0.9341230477133113,400,40,0.975,0.9615384615384616,0.9821428571428572,0.9615384615384616,0.9709090909090909,0.9434563530497264,0.9230769230769231,1.0
rgb+pretrained+pca6,rgb,pretrained,pca6,2,2,Random Forest,0.9645252992621414,400,40,0.95,0.9430199430199431,0.9430199430199431,0.9430199430199431,0.9430199430199431,0.886039886039886,0.9230769230769231,0.9629629629629629
rgb+pretrained+pca6,rgb,pretrained,pca6,2,3,SVM (RBF),0.9632499750424279,400,41,0.8780487804878049,0.8695054945054945,0.8558201058201058,0.8695054945054945,0.8619528619528619,0.7251964813926101,0.8461538461538461,0.8928571428571429
rgb+pretrained+pca6,rgb,pretrained,pca6,2,4,SVM (RBF),0.9167938542938543,400,40,0.9,0.8571428571428572,0.9,0.8571428571428572,0.8746081504702194,0.7559289460184545,0.75,0.9642857142857143
rgb+pretrained+pca6,rgb,pretrained,pca6,2,5,Logistic Regression,0.9141237768316877,400,40,0.9,0.9259259259259259,0.8823529411764706,0.9259259259259259,0.8933333333333333,0.8071035385899118,1.0,0.8518518518518519
rgb+pretrained+pca6,rgb,pretrained,pca6,3,1,SVM (RBF),0.9137955859653973,400,41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rgb+pretrained+pca6,rgb,pretrained,pca6,3,2,SVM (RBF),0.9144458571346443,400,40,0.975,0.9814814814814814,0.9642857142857143,0.9814814814814814,0.9720475192173306,0.9456108576893004,1.0,0.9629629629629629
rgb+pretrained+pca6,rgb,pretrained,pca6,3,3,Random Forest,0.9442027879527879,400,40,0.875,0.8475783475783476,0.8630952380952381,0.8475783475783476,0.8545454545454545,0.7105041671115223,0.7692307692307693,0.9259259259259259
rgb+pretrained+pca6,rgb,pretrained,pca6,3,4,SVM (RBF),0.9502704702704703,400,40,0.925,0.8988095238095238,0.9200626959247649,0.8988095238095238,0.9084668192219679,0.8185963687481157,0.8333333333333334,0.9642857142857143
rgb+pretrained+pca6,rgb,pretrained,pca6,3,5,SVM (RBF),0.9209460081828502,400,40,0.9,0.8660968660968661,0.9028213166144201,0.8660968660968661,0.8809523809523809,0.7680406801974818,0.7692307692307693,0.9629629629629629
rgb+pretrained+pca6,rgb,pretrained,pca6,4,1,SVM (RBF),0.9415452977610066,400,40,0.825,0.7507122507122507,0.84375,0.7507122507122507,0.7740112994350282,0.5871365639519862,0.5384615384615384,0.9629629629629629
rgb+pretrained+pca6,rgb,pretrained,pca6,4,2,SVM (RBF),0.9358632108632109,400,40,0.975,0.9583333333333333,0.9827586206896552,0.9583333333333333,0.969488939740656,0.9407749312478345,0.9166666666666666,1.0
