condition,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,mcc_mean,recall_batik_mean,recall_non_batik_mean,n_repeats
gray+pretrained+full512,0.9395515314738463,0.016137758497001407,0.942164689781022,0.8793568211632593,0.9562043795620438,0.928125,5
gray+pretrained+pca6,0.9104724211346362,0.015275479409954466,0.9097627737226277,0.8210628589406086,0.9445255474452555,0.875,5
gray+random+full512,0.8256763152928321,0.026150679975139344,0.8275433394160585,0.6516537004740319,0.8832116788321167,0.771875,5
gray+random+pca6,0.8568463698702624,0.016805500134873176,0.8545392335766422,0.7140997865688198,0.9153284671532846,0.79375,5
rgb+pretrained+full512,0.9366819773842338,0.009186263207011507,0.9348768248175183,0.8734500812519904,0.9635036496350364,0.90625,5
rgb+pretrained+pca6,0.9109325505503467,0.026477231195507052,0.9130930656934307,0.8224273190905826,0.9386861313868613,0.8875,5
rgb+random+full512,0.8063638279560361,0.028608187298608114,0.8041058394160585,0.6132144877441474,0.8832116788321167,0.725,5
rgb+random+pca6,0.7854408526539106,0.019411486549917516,0.7914803832116789,0.5724204427207483,0.8423357664233576,0.740625,5
