,motif_complexity_score,small_contour_count,glcm_entropy,glcm_homogeneity,lbp_entropy,fft_peak_ratio
motif_complexity_score,1.0,0.7794573149322189,0.5400570825598544,-0.6270777917974268,0.24360384312661781,-0.17400533229223636
small_contour_count,0.7794573149322189,1.0,0.533838163198808,-0.5008847268709424,0.08111851689948252,0.09897921075719814
glcm_entropy,0.5400570825598544,0.533838163198808,1.0,-0.8982410365206267,0.1451647719968409,-0.01601834707182954
glcm_homogeneity,-0.6270777917974268,-0.5008847268709424,-0.8982410365206267,1.0,-0.17789626520724677,0.037231607557788954
lbp_entropy,0.24360384312661781,0.08111851689948252,0.1451647719968409,-0.17789626520724677,1.0,-0.4312525346630327
fft_peak_ratio,-0.17400533229223636,0.09897921075719814,-0.01601834707182954,0.037231607557788954,-0.4312525346630327,1.0
