metric,repeat_mean,repeat_std,repeat_min,repeat_max,outer_fold_mean,outer_fold_std
accuracy,0.9194029850746268,0.011877946653048081,0.9054726368159204,0.9353233830845771,0.9192682926829268,0.04164869233565298
balanced_accuracy,0.9075729927007299,0.009989030223351686,0.8968407846715328,0.9192518248175183,0.9072283272283274,0.04558431557305285
precision_macro,0.9073393288251175,0.01646067994285781,0.8880597014925373,0.9304449648711943,0.91377665602812,0.050487606587417626
recall_macro,0.9075729927007299,0.009989030223351686,0.8968407846715328,0.9192518248175183,0.9072283272283274,0.04558431557305285
f1_macro,0.9073045149100271,0.012955027093891408,0.8924255654770288,0.9245342960288809,0.907324488685638,0.04641961256007686
mcc,0.8148798108406237,0.0259650037699572,0.78535872132923,0.8496230623182514,0.8203641415475873,0.09079992322548894
recall_non_batik,0.875,0.011048543456039806,0.859375,0.890625,0.8746153846153847,0.08538483996787795
recall_batik,0.9401459854014599,0.016644896716775756,0.9197080291970803,0.9635036496350365,0.9398412698412699,0.05614311992235605
