repeat,outer_fold,inner_fold,phase,kelas,is_augmented,instances
2,2,all,outer_fit,non_batik,False,51
2,2,all,outer_fit,non_batik,True,149
2,3,1,inner_selection,batik,False,82
2,3,1,inner_selection,batik,True,118
2,3,1,inner_selection,non_batik,False,38
2,3,1,inner_selection,non_batik,True,162
2,3,2,inner_selection,batik,False,82
2,3,2,inner_selection,batik,True,118
2,3,2,inner_selection,non_batik,False,38
2,3,2,inner_selection,non_batik,True,162
2,3,3,inner_selection,batik,False,82
2,3,3,inner_selection,batik,True,118
2,3,3,inner_selection,non_batik,False,38
2,3,3,inner_selection,non_batik,True,162
2,3,4,inner_selection,batik,False,81
2,3,4,inner_selection,batik,True,119
2,3,4,inner_selection,non_batik,False,39
2,3,4,inner_selection,non_batik,True,161
2,3,all,outer_fit,batik,False,109
2,3,all,outer_fit,batik,True,91
2,3,all,outer_fit,non_batik,False,51
2,3,all,outer_fit,non_batik,True,149
2,4,1,inner_selection,batik,False,81
2,4,1,inner_selection,batik,True,119
2,4,1,inner_selection,non_batik,False,39
2,4,1,inner_selection,non_batik,True,161
2,4,2,inner_selection,batik,False,82
2,4,2,inner_selection,batik,True,118
2,4,2,inner_selection,non_batik,False,39
2,4,2,inner_selection,non_batik,True,161
2,4,3,inner_selection,batik,False,82
2,4,3,inner_selection,batik,True,118
2,4,3,inner_selection,non_batik,False,39
2,4,3,inner_selection,non_batik,True,161
2,4,4,inner_selection,batik,False,82
2,4,4,inner_selection,batik,True,118
2,4,4,inner_selection,non_batik,False,39
2,4,4,inner_selection,non_batik,True,161
2,4,all,outer_fit,batik,False,109
2,4,all,outer_fit,batik,True,91
2,4,all,outer_fit,non_batik,False,52
2,4,all,outer_fit,non_batik,True,148
2,5,1,inner_selection,batik,False,82
2,5,1,inner_selection,batik,True,118
2,5,1,inner_selection,non_batik,False,38
2,5,1,inner_selection,non_batik,True,162
2,5,2,inner_selection,batik,False,83
2,5,2,inner_selection,batik,True,117
2,5,2,inner_selection,non_batik,False,38
2,5,2,inner_selection,non_batik,True,162
2,5,3,inner_selection,batik,False,82
2,5,3,inner_selection,batik,True,118
2,5,3,inner_selection,non_batik,False,39
2,5,3,inner_selection,non_batik,True,161
2,5,4,inner_selection,batik,False,83
2,5,4,inner_selection,batik,True,117
2,5,4,inner_selection,non_batik,False,38
2,5,4,inner_selection,non_batik,True,162
2,5,all,outer_fit,batik,False,110
2,5,all,outer_fit,batik,True,90
2,5,all,outer_fit,non_batik,False,51
2,5,all,outer_fit,non_batik,True,149
3,1,1,inner_selection,batik,False,82
3,1,1,inner_selection,batik,True,118
3,1,1,inner_selection,non_batik,False,38
3,1,1,inner_selection,non_batik,True,162
3,1,2,inner_selection,batik,False,82
3,1,2,inner_selection,batik,True,118
3,1,2,inner_selection,non_batik,False,38
3,1,2,inner_selection,non_batik,True,162
3,1,3,inner_selection,batik,False,82
3,1,3,inner_selection,batik,True,118
3,1,3,inner_selection,non_batik,False,38
3,1,3,inner_selection,non_batik,True,162
3,1,4,inner_selection,batik,False,81
3,1,4,inner_selection,batik,True,119
3,1,4,inner_selection,non_batik,False,39
3,1,4,inner_selection,non_batik,True,161
