repeat,outer_fold,feature_set,model,inner_macro_f1_mean,inner_macro_f1_std,inner_fold_scores
1,2,Edge/Morfologi,SVM (RBF),0.7932504680729833,0.029381146350598027,"[0.783068783069, 0.821428571429, 0.811912225705, 0.756592292089]"
1,2,Edge/Morfologi,Random Forest,0.7903310393551122,0.03623479611736797,"[0.75992192583, 0.804332634521, 0.761904761905, 0.835164835165]"
1,2,Tekstur,Logistic Regression,0.787002997002997,0.07735306678561167,"[0.887362637363, 0.796363636364, 0.702380952381, 0.761904761905]"
1,2,Tekstur,SVM (RBF),0.8405843342410676,0.10804166356515729,"[0.971228070175, 0.821428571429, 0.860237596087, 0.709443099274]"
1,2,Tekstur,Random Forest,0.8250510574331329,0.08451975270494112,"[0.943681318681, 0.748427672956, 0.786666666667, 0.821428571429]"
1,2,Frekuensi,Logistic Regression,0.5779598098954675,0.08586517181647342,"[0.581381381381, 0.693094629156, 0.548872180451, 0.488491048593]"
1,2,Frekuensi,SVM (RBF),0.588318829833007,0.08979964538233752,"[0.598039215686, 0.648411088573, 0.648411088573, 0.458413926499]"
1,2,Frekuensi,Random Forest,0.6015017292183331,0.055421156970937864,"[0.568954854669, 0.648411088573, 0.648411088573, 0.540229885057]"
1,2,Gabungan 6 Fitur,Logistic Regression,0.8654694347195973,0.04068204703019754,"[0.919973975277, 0.860237596087, 0.821428571429, 0.860237596087]"
1,2,Gabungan 6 Fitur,SVM (RBF),0.9151216156877613,0.02316654652210981,"[0.945767195767, 0.89010989011, 0.908466819222, 0.916142557652]"
1,2,Gabungan 6 Fitur,Random Forest,0.9419073299734756,0.04146519613162113,"[1.0, 0.94301994302, 0.908466819222, 0.916142557652]"
1,3,Edge/Morfologi,Logistic Regression,0.7520691750645668,0.028198621976637257,"[0.786666666667, 0.725274725275, 0.733333333333, 0.763001974984]"
1,3,Edge/Morfologi,SVM (RBF),0.7453325863771522,0.043734888962656766,"[0.804332634521, 0.702380952381, 0.725400457666, 0.74921630094]"
1,3,Edge/Morfologi,Random Forest,0.7592885950279846,0.06474332770070104,"[0.77207977208, 0.804332634521, 0.796363636364, 0.664378337147]"
1,3,Tekstur,Logistic Regression,0.7146834477498094,0.03222887955279233,"[0.733333333333, 0.733333333333, 0.725400457666, 0.666666666667]"
1,3,Tekstur,SVM (RBF),0.8434076353992598,0.046651442082140844,"[0.860237596087, 0.864773495605, 0.87460815047, 0.774011299435]"
1,3,Tekstur,Random Forest,0.8307647281752681,0.03148028407764118,"[0.796363636364, 0.860237596087, 0.811912225705, 0.854545454545]"
1,3,Frekuensi,Logistic Regression,0.5697502016676995,0.019981537722930997,"[0.572595851666, 0.548872180451, 0.561573178594, 0.59595959596]"
1,3,Frekuensi,SVM (RBF),0.579988828319502,0.048132179402686326,"[0.572595851666, 0.524702939337, 0.58071278826, 0.641943734015]"
1,3,Frekuensi,Random Forest,0.578405285235701,0.10944000668460821,"[0.6875, 0.4861392833, 0.482312338223, 0.657669519421]"
1,3,Gabungan 6 Fitur,Logistic Regression,0.8330144054756554,0.03460114256788811,"[0.860237596087, 0.864773495605, 0.796363636364, 0.810682893847]"
1,3,Gabungan 6 Fitur,SVM (RBF),0.8931360306360306,0.05234943194680661,"[0.945054945055, 0.893333333333, 0.821428571429, 0.912727272727]"
