repeat,n_original_predictions,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
1,201,0.9104477611940298,0.8968407846715328,0.8968407846715328,0.8968407846715328,0.8968407846715328,0.7936815693430657,0.859375,0.9343065693430657
2,201,0.9253731343283582,0.9119525547445255,0.9154589371980676,0.9119525547445255,0.9136721546170365,0.827404062282001,0.875,0.948905109489051
3,201,0.9203980099502488,0.9124657846715328,0.905892255892256,0.9124657846715328,0.9090497737556561,0.8183316389305694,0.890625,0.9343065693430657
4,201,0.9054726368159204,0.8973540145985401,0.8880597014925373,0.8973540145985401,0.8924255654770288,0.78535872132923,0.875,0.9197080291970803
5,201,0.9353233830845771,0.9192518248175183,0.9304449648711943,0.9192518248175183,0.9245342960288809,0.8496230623182514,0.875,0.9635036496350365
