arm,repeat,n_original_predictions,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,mcc,recall_non_batik,recall_batik
augmented_balanced,1,201,0.9104477611940298,0.8968407846715328,0.8968407846715328,0.8968407846715328,0.8968407846715328,0.7936815693430657,0.859375,0.9343065693430657
augmented_balanced,2,201,0.9253731343283582,0.9119525547445255,0.9154589371980676,0.9119525547445255,0.9136721546170365,0.827404062282001,0.875,0.948905109489051
augmented_balanced,3,201,0.9203980099502488,0.9124657846715328,0.905892255892256,0.9124657846715328,0.9090497737556561,0.8183316389305694,0.890625,0.9343065693430657
augmented_balanced,4,201,0.9054726368159204,0.8973540145985401,0.8880597014925373,0.8973540145985401,0.8924255654770288,0.78535872132923,0.875,0.9197080291970803
augmented_balanced,5,201,0.9353233830845771,0.9192518248175183,0.9304449648711943,0.9192518248175183,0.9245342960288809,0.8496230623182514,0.875,0.9635036496350365
balanced_original_sampling,1,201,0.9054726368159204,0.909842609489051,0.884578339041096,0.909842609489051,0.8948078777027957,0.7940191182221439,0.921875,0.8978102189781022
balanced_original_sampling,2,201,0.8905472636815921,0.8905679744525548,0.8687015503875969,0.8905679744525548,0.8777642636001769,0.7589545907691718,0.890625,0.8905109489051095
balanced_original_sampling,3,201,0.9154228855721394,0.9171418795620438,0.8962621885157096,0.9171418795620438,0.9052018310445277,0.8131360381063233,0.921875,0.9124087591240876
balanced_original_sampling,4,201,0.9203980099502488,0.9166286496350364,0.9039141972578505,0.9166286496350364,0.9097643097643098,0.8204443346673996,0.90625,0.927007299270073
balanced_original_sampling,5,201,0.9054726368159204,0.8973540145985401,0.8880597014925373,0.8973540145985401,0.8924255654770288,0.78535872132923,0.875,0.9197080291970803
class_weighted_originals,1,201,0.9054726368159204,0.9056797445255474,0.885373781148429,0.9056797445255474,0.8940491052850603,0.7907928605725747,0.90625,0.9051094890510949
class_weighted_originals,2,201,0.9054726368159204,0.9015168795620438,0.886528326745718,0.9015168795620438,0.893255443441317,0.7879026529141244,0.890625,0.9124087591240876
class_weighted_originals,3,201,0.900497512437811,0.8895415145985401,0.8833333333333333,0.8895415145985401,0.8863122171945701,0.7728499136644157,0.859375,0.9197080291970803
class_weighted_originals,4,201,0.9203980099502488,0.9249543795620438,0.9011627906976745,0.9249543795620438,0.9111012826183105,0.8257745087475351,0.9375,0.9124087591240876
class_weighted_originals,5,201,0.9203980099502488,0.9166286496350364,0.9039141972578505,0.9166286496350364,0.9097643097643098,0.8204443346673996,0.90625,0.927007299270073
