left,right,patch_corr
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0015.jpg,0.1585
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0017.jpg,0.2495
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0018.jpg,0.1745
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0019.jpg,0.1221
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/002.jpg,0.1467
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0020.jpg,0.1296
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0021.jpg,0.1774
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0022.jpg,0.1844
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0023.jpg,0.1252
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0024.jpg,0.1652
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0025.jpg,0.2002
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0027.jpg,0.1709
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0029.jpg,0.1396
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0033.jpg,0.1667
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0036.jpg,0.0981
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0037.jpg,0.1582
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/0038.jpg,0.1562
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/005.jpg,0.1393
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/007.jpg,0.168
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/008.jpg,0.1178
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/SumateraBarat_Rumah_Minang/009.jpg,0.2302
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0010.jpg,0.1375
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0014.jpg,0.1511
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0015.jpg,0.1145
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0016.jpg,0.0978
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,0.1468
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0019.jpg,0.1947
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/002.jpg,0.1709
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0020.jpg,0.1565
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0021.jpg,0.12
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0022.jpg,0.1078
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0024.jpg,0.1508
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0025.jpg,0.1212
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0026.jpg,0.1007
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0027.jpg,0.1138
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0029.jpg,0.1755
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/003.jpg,0.1541
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0030.jpg,0.1801
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0031.jpg,0.1087
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0032.jpg,0.1634
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0033.jpg,0.242
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0035.jpg,0.1119
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0036.jpg,0.1924
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0037.jpg,0.1545
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0039.jpg,0.1995
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/004.jpg,0.1245
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/0040.jpg,0.1091
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/005.jpg,0.2224
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/006.jpg,0.1485
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Kawung/009.jpg,0.1206
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0010.jpg,0.1758
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0012.jpg,0.1376
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0016.jpg,0.1737
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0017.jpg,0.1646
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0018.jpg,0.1916
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0019.jpg,0.1388
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/002.jpg,0.2942
dataset_batik/batik/Batik Sekar Jagad/0.jpg,dataset_batik/batik/Yogyakarta_Parang/0020.jpg,0.139
