left,right,patch_corr,align_score,dx,dy,overlap_w,overlap_h,residual_rgb
dataset_batik/batik/Yogyakarta_Kawung/0029.jpg,dataset_batik/batik/Yogyakarta_Kawung/0036.jpg,0.7437,0.7097712159156799,-64,-59,192,197,50.90939712524414
dataset_batik/batik/Yogyakarta_Kawung/0030.jpg,dataset_batik/batik/Yogyakarta_Kawung/009.jpg,0.8651,0.8266962766647339,54,28,202,228,50.99147415161133
dataset_batik/batik/Yogyakarta_Kawung/0036.jpg,dataset_batik/batik/batik solo/solo4.jpg,0.8279,0.7359976172447205,-12,-33,244,223,51.494346618652344
dataset_batik/batik/Yogyakarta_Kawung/0010.jpg,dataset_batik/batik/Yogyakarta_Kawung/009.jpg,0.849,0.8213001489639282,60,-2,196,254,51.96786880493164
uji_eksternal/batik/batik_sogan (5).jpg,uji_eksternal/non_batik/polos5.jpg,0.7382,0.1341569721698761,38,17,218,239,52.23414993286133
dataset_batik/batik/Yogyakarta_Kawung/0030.jpg,dataset_batik/batik/Yogyakarta_Kawung/0037.jpg,0.7479,0.735937774181366,57,31,199,225,52.24443054199219
dataset_batik/batik/Yogyakarta_Parang/0038.jpg,dataset_batik/batik/Yogyakarta_Parang/0040.jpg,0.8818,0.7864546179771423,-36,32,220,224,53.152549743652344
dataset_batik/batik/Yogyakarta_Kawung/0010.jpg,dataset_batik/batik/Yogyakarta_Kawung/0037.jpg,0.7532,0.7340605854988098,-60,60,196,196,54.223960876464844
dataset_batik/batik/batik pekalongan/pekalongan2.jpg,uji_eksternal/non_batik/polos5.jpg,0.7182,0.5392930507659912,27,-33,229,223,54.986183166503906
dataset_batik/batik/Yogyakarta_Parang/0020.jpg,dataset_batik/batik/Yogyakarta_Parang/007.jpg,0.849,0.7049192786216736,-46,-1,210,255,54.988285064697266
dataset_batik/non_batik/modern/modern (3).png,uji_eksternal/non_batik/polos4.webp,0.6706,0.386882483959198,-30,53,226,203,55.777191162109375
dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,dataset_batik/batik/batik solo/solo4.jpg,0.7465,0.6390924453735352,6,-23,250,233,56.602352142333984
dataset_batik/batik/Yogyakarta_Parang/0036.jpg,dataset_batik/batik/Yogyakarta_Parang/008.jpg,0.7311,0.6140403747558594,28,-42,228,214,56.78771209716797
uji_eksternal/non_batik/polos4.webp,uji_eksternal/non_batik/polos5.jpg,0.7566,0.28770771622657776,-64,-64,192,192,57.023128509521484
dataset_batik/batik/Yogyakarta_Kawung/0014.jpg,dataset_batik/batik/batik solo/solo4.jpg,0.8132,0.6665726900100708,15,8,241,248,57.2815055847168
dataset_batik/non_batik/garis/garis1 (3).jpg,uji_eksternal/batik/batik_sogan (5).jpg,0.6431,0.6065144538879395,6,-51,250,205,58.60081481933594
dataset_batik/non_batik/garis/garis1 (3).jpg,uji_eksternal/non_batik/polos1.jpg,0.6039,0.476913720369339,64,-64,192,192,58.997867584228516
dataset_batik/batik/Yogyakarta_Parang/0012.jpg,dataset_batik/batik/Yogyakarta_Parang/0019.jpg,0.8989,0.7801467180252075,-33,28,223,228,59.02400207519531
dataset_batik/batik/Yogyakarta_Parang/0019.jpg,dataset_batik/batik/Yogyakarta_Parang/009.jpg,0.8312,0.7801574468612671,33,54,223,202,59.379249572753906
dataset_batik/batik/Yogyakarta_Kawung/0032.jpg,dataset_batik/batik/Yogyakarta_Kawung/0036.jpg,0.7109,0.6003344058990479,-60,-25,196,231,60.76250076293945
dataset_batik/batik/Yogyakarta_Kawung/0035.jpg,dataset_batik/batik/Yogyakarta_Kawung/0040.jpg,0.7625,0.5726017951965332,-18,48,238,208,60.89683532714844
dataset_batik/batik/Yogyakarta_Parang/0017.jpg,dataset_batik/batik/Yogyakarta_Parang/0019.jpg,0.8614,0.7592089772224426,-36,-14,220,242,60.949134826660156
dataset_batik/non_batik/modern/modern (1).png,uji_eksternal/non_batik/polos5.jpg,0.7851,0.2676570415496826,20,40,236,216,61.08329391479492
dataset_batik/batik/Yogyakarta_Kawung/0014.jpg,dataset_batik/batik/Yogyakarta_Kawung/0032.jpg,0.6791,0.5753331184387207,60,31,196,225,61.70988845825195
dataset_batik/batik/Yogyakarta_Kawung/0024.jpg,dataset_batik/batik/Yogyakarta_Kawung/0029.jpg,0.6893,0.5795255899429321,-16,29,240,227,61.94554138183594
dataset_batik/batik/Yogyakarta_Kawung/0025.jpg,dataset_batik/batik/Yogyakarta_Kawung/0026.jpg,0.6732,0.6109479665756226,50,-50,206,206,62.71884536743164
dataset_batik/batik/Yogyakarta_Kawung/0018.jpg,dataset_batik/batik/Yogyakarta_Kawung/0032.jpg,0.705,0.5760975480079651,7,37,249,219,62.94750213623047
dataset_batik/batik/Yogyakarta_Kawung/0016.jpg,dataset_batik/batik/Yogyakarta_Kawung/0020.jpg,0.7099,0.6466042995452881,8,42,248,214,63.07815170288086
dataset_batik/batik/Yogyakarta_Kawung/0029.jpg,dataset_batik/batik/Yogyakarta_Kawung/003.jpg,0.7252,0.6509443521499634,15,-25,241,231,63.73469161987305
dataset_batik/non_batik/modern/modern (2).png,uji_eksternal/non_batik/polos5.jpg,0.6816,0.5419923067092896,13,19,243,237,64.15758514404297
dataset_batik/non_batik/garis/garis1 (3).jpg,dataset_batik/non_batik/modern/modern (2).png,0.7783,0.528495728969574,42,-57,214,199,65.18983459472656
dataset_batik/batik/Yogyakarta_Kawung/0022.jpg,dataset_batik/batik/Yogyakarta_Kawung/0040.jpg,0.7514,0.7112951874732971,-12,-39,244,217,65.34266662597656
dataset_batik/non_batik/modern/modern (2).png,uji_eksternal/non_batik/polos3.webp,0.6009,0.4689517319202423,8,51,248,205,68.3076400756836
uji_eksternal/non_batik/polos3.webp,uji_eksternal/non_batik/polos4.webp,0.6016,0.6203660368919373,-50,-36,206,220,68.31698608398438
uji_eksternal/batik/batik_betawi (5).jpg,uji_eksternal/non_batik/polos5.jpg,0.7553,0.3056361973285675,-64,-61,192,195,68.44034576416016
